!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 2   10/ 7/19
!  WCM     D35  pE   D35  pM   D15  pE   D15  pM   D15  nE   D15  nM
 1470.0   -0.8209    0.0044    0.4807   -0.1716   -0.4971   -0.0626           0.0313   -0.0001    0.0420    0.0169   -0.0462    0.0476
 1475.0   -0.8174    0.0033    0.4787   -0.1641   -0.4947   -0.0811           0.0318   -0.0001    0.0433    0.0190   -0.0476    0.0458
 1480.0   -0.8138    0.0023    0.4766   -0.1565   -0.4923   -0.1002           0.0322   -0.0001    0.0447    0.0214   -0.0491    0.0435
 1485.0   -0.8102    0.0013    0.4745   -0.1489   -0.4898   -0.1202           0.0326   -0.0000    0.0461    0.0239   -0.0507    0.0407
 1490.0   -0.8065    0.0005    0.4724   -0.1412   -0.4873   -0.1412           0.0330   -0.0000    0.0476    0.0267   -0.0524    0.0374
 1495.0   -0.8027   -0.0003    0.4701   -0.1333   -0.4847   -0.1626           0.0334    0.0000    0.0492    0.0297   -0.0541    0.0333
 1500.0   -0.7989   -0.0009    0.4678   -0.1254   -0.4820   -0.1851           0.0338    0.0000    0.0508    0.0329   -0.0560    0.0286
 1505.0   -0.7951   -0.0015    0.4658   -0.1176   -0.4797   -0.2087           0.0341    0.0001    0.0526    0.0363   -0.0579    0.0230
 1510.0   -0.7911   -0.0020    0.4633   -0.1095   -0.4769   -0.2329           0.0345    0.0001    0.0543    0.0401   -0.0599    0.0165
 1515.0   -0.7871   -0.0024    0.4608   -0.1013   -0.4741   -0.2583           0.0349    0.0001    0.0562    0.0442   -0.0620    0.0090
 1520.0   -0.7829   -0.0027    0.4581   -0.0930   -0.4712   -0.2844           0.0352    0.0001    0.0582    0.0487   -0.0642    0.0003
 1525.0   -0.7788   -0.0029    0.4554   -0.0848   -0.4682   -0.3119           0.0355    0.0001    0.0602    0.0537   -0.0665   -0.0097
 1530.0   -0.7746   -0.0030    0.4526   -0.0765   -0.4652   -0.3405           0.0359    0.0001    0.0623    0.0590   -0.0689   -0.0213
 1535.0   -0.7703   -0.0031    0.4497   -0.0681   -0.4621   -0.3700           0.0362    0.0001    0.0645    0.0649   -0.0714   -0.0346
 1540.0   -0.7660   -0.0031    0.4464   -0.0596   -0.4586   -0.4005           0.0365    0.0001    0.0668    0.0713   -0.0740   -0.0498
 1545.0   -0.7616   -0.0030    0.4434   -0.0513   -0.4554   -0.4326           0.0368    0.0001    0.0691    0.0783   -0.0768   -0.0674
 1550.0   -0.7571   -0.0028    0.4395   -0.0428   -0.4514   -0.4651           0.0371    0.0001    0.0716    0.0860   -0.0797   -0.0874
 1555.0   -0.7525   -0.0025    0.4357   -0.0344   -0.4475   -0.4988           0.0374    0.0001    0.0741    0.0945   -0.0827   -0.1101
