!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 1   10/ 7/19
!  WCM     P31  pE   P31  pM   P11  pE   P11  pM   P11  nE   P11  nM
 1520.0    0.0000   -2.8333    0.0000    0.0904    0.0000   -0.8038           0.0000    1.9466    0.0000    2.5780    0.0000   -1.2953
 1525.0    0.0000   -2.7959    0.0000    0.0391    0.0000   -0.7804           0.0000    1.9095    0.0000    2.5288    0.0000   -1.2375
 1530.0    0.0000   -2.7581    0.0000   -0.0112    0.0000   -0.7582           0.0000    1.8713    0.0000    2.4799    0.0000   -1.1822
 1535.0    0.0000   -2.7200    0.0000   -0.0599    0.0000   -0.7374           0.0000    1.8298    0.0000    2.4316    0.0000   -1.1296
 1540.0    0.0000   -2.6818    0.0000   -0.1069    0.0000   -0.7178           0.0000    1.7869    0.0000    2.3845    0.0000   -1.0797
 1545.0    0.0000   -2.6431    0.0000   -0.1539    0.0000   -0.6989           0.0000    1.7428    0.0000    2.3372    0.0000   -1.0320
 1550.0    0.0000   -2.6041    0.0000   -0.1993    0.0000   -0.6811           0.0000    1.6966    0.0000    2.2908    0.0000   -0.9867
 1555.0    0.0000   -2.5643    0.0000   -0.2437    0.0000   -0.6642           0.0000    1.6490    0.0000    2.2457    0.0000   -0.9437
 1560.0    0.0000   -2.5241    0.0000   -0.2868    0.0000   -0.6481           0.0000    1.6000    0.0000    2.2003    0.0000   -0.9027
 1565.0    0.0000   -2.4828    0.0000   -0.3300    0.0000   -0.6326           0.0000    1.5501    0.0000    2.1559    0.0000   -0.8637
 1570.0    0.0000   -2.4410    0.0000   -0.3720    0.0000   -0.6178           0.0000    1.4993    0.0000    2.1120    0.0000   -0.8267
 1575.0    0.0000   -2.3985    0.0000   -0.4130    0.0000   -0.6037           0.0000    1.4474    0.0000    2.0684    0.0000   -0.7915
 1580.0    0.0000   -2.3549    0.0000   -0.4540    0.0000   -0.5901           0.0000    1.3948    0.0000    2.0257    0.0000   -0.7582
 1585.0    0.0000   -2.3100    0.0000   -0.4940    0.0000   -0.5771           0.0000    1.3420    0.0000    1.9832    0.0000   -0.7265
 1590.0    0.0000   -2.2643    0.0000   -0.5324    0.0000   -0.5645           0.0000    1.2887    0.0000    1.9412    0.0000   -0.6964
 1595.0    0.0000   -2.2177    0.0000   -0.5733    0.0000   -0.5526           0.0000    1.2353    0.0000    1.8996    0.0000   -0.6679
 1600.0    0.0000   -2.1697    0.0000   -0.6096    0.0000   -0.5412           0.0000    1.1822    0.0000    1.8584    0.0000   -0.6409
 1605.0    0.0000   -2.1209    0.0000   -0.6488    0.0000   -0.5303           0.0000    1.1287    0.0000    1.8175    0.0000   -0.6153
 1610.0    0.0000   -2.0711    0.0000   -0.6859    0.0000   -0.5198           0.0000    1.0758    0.0000    1.7768    0.0000   -0.5910
 1615.0    0.0000   -2.0195    0.0000   -0.7214    0.0000   -0.5097           0.0000    1.0234    0.0000    1.7371    0.0000   -0.5683
 1620.0    0.0000   -1.9674    0.0000   -0.7590    0.0000   -0.5003           0.0000    0.9711    0.0000    1.6967    0.0000   -0.5466
 1625.0    0.0000   -1.9139    0.0000   -0.7950    0.0000   -0.4912           0.0000    0.9200    0.0000    1.6577    0.0000   -0.5263
 1630.0    0.0000   -1.8592    0.0000   -0.8286    0.0000   -0.4826           0.0000    0.8699    0.0000    1.6179    0.0000   -0.5070
 1635.0    0.0000   -1.8036    0.0000   -0.8624    0.0000   -0.4745           0.0000    0.8205    0.0000    1.5787    0.0000   -0.4889
 1640.0    0.0000   -1.7467    0.0000   -0.8967    0.0000   -0.4669           0.0000    0.7725    0.0000    1.5401    0.0000   -0.4720
 1645.0    0.0000   -1.6887    0.0000   -0.9318    0.0000   -0.4597           0.0000    0.7257    0.0000    1.5006    0.0000   -0.4560
 1650.0    0.0000   -1.6299    0.0000   -0.9643    0.0000   -0.4530           0.0000    0.6804    0.0000    1.4621    0.0000   -0.4411
 1655.0    0.0000   -1.5701    0.0000   -0.9944    0.0000   -0.4468           0.0000    0.6367    0.0000    1.4232    0.0000   -0.4272
 1660.0    0.0000   -1.5094    0.0000   -1.0256    0.0000   -0.4410           0.0000    0.5947    0.0000    1.3846    0.0000   -0.4142
 1665.0    0.0000   -1.4478    0.0000   -1.0567    0.0000   -0.4358           0.0000    0.5547    0.0000    1.3457    0.0000   -0.4021
 1670.0    0.0000   -1.3855    0.0000   -1.0859    0.0000   -0.4311           0.0000    0.5166    0.0000    1.3067    0.0000   -0.3909
 1675.0    0.0000   -1.3222    0.0000   -1.1155    0.0000   -0.4268           0.0000    0.4804    0.0000    1.2675    0.0000   -0.3805
 1680.0    0.0000   -1.2585    0.0000   -1.1432    0.0000   -0.4230           0.0000    0.4467    0.0000    1.2286    0.0000   -0.3709
 1685.0    0.0000   -1.1944    0.0000   -1.1712    0.0000   -0.4198           0.0000    0.4152    0.0000    1.1893    0.0000   -0.3622
 1690.0    0.0000   -1.1301    0.0000   -1.1974    0.0000   -0.4170           0.0000    0.3859    0.0000    1.1497    0.0000   -0.3542
 1695.0    0.0000   -1.0651    0.0000   -1.2215    0.0000   -0.4148           0.0000    0.3590    0.0000    1.1098    0.0000   -0.3469
 1700.0    0.0000   -1.0002    0.0000   -1.2439    0.0000   -0.4131           0.0000    0.3350    0.0000    1.0703    0.0000   -0.3404
 1705.0    0.0000   -0.9353    0.0000   -1.2665    0.0000   -0.4119           0.0000    0.3131    0.0000    1.0301    0.0000   -0.3345
 1710.0    0.0000   -0.8705    0.0000   -1.2880    0.0000   -0.4112           0.0000    0.2941    0.0000    0.9900    0.0000   -0.3293
 1715.0    0.0000   -0.8059    0.0000   -1.3076    0.0000   -0.4111           0.0000    0.2775    0.0000    0.9499    0.0000   -0.3248
 1720.0    0.0000   -0.7418    0.0000   -1.3239    0.0000   -0.4115           0.0000    0.2637    0.0000    0.9094    0.0000   -0.3208
 1725.0    0.0000   -0.6780    0.0000   -1.3406    0.0000   -0.4124           0.0000    0.2525    0.0000    0.8692    0.0000   -0.3176
 1730.0    0.0000   -0.6151    0.0000   -1.3541    0.0000   -0.4138           0.0000    0.2438    0.0000    0.8285    0.0000   -0.3148
 1735.0    0.0000   -0.5528    0.0000   -1.3680    0.0000   -0.4157           0.0000    0.2378    0.0000    0.7883    0.0000   -0.3127
 1740.0    0.0000   -0.4915    0.0000   -1.3769    0.0000   -0.4182           0.0000    0.2344    0.0000    0.7489    0.0000   -0.3111
 1745.0    0.0000   -0.4312    0.0000   -1.3868    0.0000   -0.4211           0.0000    0.2334    0.0000    0.7096    0.0000   -0.3100
 1750.0    0.0000   -0.3723    0.0000   -1.3933    0.0000   -0.4247           0.0000    0.2349    0.0000    0.6702    0.0000   -0.3095
 1755.0    0.0000   -0.3145    0.0000   -1.3989    0.0000   -0.4287           0.0000    0.2387    0.0000    0.6313    0.0000   -0.3095
 1760.0    0.0000   -0.2582    0.0000   -1.4018    0.0000   -0.4332           0.0000    0.2447    0.0000    0.5937    0.0000   -0.3099
 1765.0    0.0000   -0.2034    0.0000   -1.4014    0.0000   -0.4383           0.0000    0.2530    0.0000    0.5548    0.0000   -0.3109
 1770.0    0.0000   -0.1503    0.0000   -1.4011    0.0000   -0.4439           0.0000    0.2632    0.0000    0.5192    0.0000   -0.3122
 1775.0    0.0000   -0.0989    0.0000   -1.3978    0.0000   -0.4499           0.0000    0.2755    0.0000    0.4824    0.0000   -0.3141
 1780.0    0.0000   -0.0493    0.0000   -1.3921    0.0000   -0.4565           0.0000    0.2895    0.0000    0.4488    0.0000   -0.3163
 1785.0    0.0000   -0.0015    0.0000   -1.3862    0.0000   -0.4635           0.0000    0.3052    0.0000    0.4143    0.0000   -0.3190
 1790.0    0.0000    0.0443    0.0000   -1.3773    0.0000   -0.4711           0.0000    0.3223    0.0000    0.3811    0.0000   -0.3220
 1795.0    0.0000    0.0882    0.0000   -1.3672    0.0000   -0.4790           0.0000    0.3409    0.0000    0.3500    0.0000   -0.3255
 1800.0    0.0000    0.1300    0.0000   -1.3544    0.0000   -0.4875           0.0000    0.3607    0.0000    0.3191    0.0000   -0.3293
 1805.0    0.0000    0.1700    0.0000   -1.3407    0.0000   -0.4963           0.0000    0.3815    0.0000    0.2923    0.0000   -0.3336
 1810.0    0.0000    0.2079    0.0000   -1.3264    0.0000   -0.5056           0.0000    0.4034    0.0000    0.2631    0.0000   -0.3381
 1815.0    0.0000    0.2439    0.0000   -1.3104    0.0000   -0.5153           0.0000    0.4259    0.0000    0.2379    0.0000   -0.3430
 1820.0    0.0000    0.2777    0.0000   -1.2912    0.0000   -0.5253           0.0000    0.4491    0.0000    0.2138    0.0000   -0.3482
 1825.0    0.0000    0.3095    0.0000   -1.2716    0.0000   -0.5359           0.0000    0.4730    0.0000    0.1902    0.0000   -0.3537
 1830.0    0.0000    0.3396    0.0000   -1.2515    0.0000   -0.5467           0.0000    0.4974    0.0000    0.1678    0.0000   -0.3595
 1835.0    0.0000    0.3677    0.0000   -1.2314    0.0000   -0.5579           0.0000    0.5215    0.0000    0.1475    0.0000   -0.3656
 1840.0    0.0000    0.3941    0.0000   -1.2092    0.0000   -0.5693           0.0000    0.5463    0.0000    0.1301    0.0000   -0.3720
 1845.0    0.0000    0.4185    0.0000   -1.1852    0.0000   -0.5812           0.0000    0.5709    0.0000    0.1121    0.0000   -0.3786
 1850.0    0.0000    0.4412    0.0000   -1.1623    0.0000   -0.5933           0.0000    0.5954    0.0000    0.0962    0.0000   -0.3854
 1855.0    0.0000    0.4625    0.0000   -1.1376    0.0000   -0.6057           0.0000    0.6196    0.0000    0.0830    0.0000   -0.3925
 1860.0    0.0000    0.4823    0.0000   -1.1116    0.0000   -0.6183           0.0000    0.6437    0.0000    0.0701    0.0000   -0.3999
 1865.0    0.0000    0.5003    0.0000   -1.0857    0.0000   -0.6312           0.0000    0.6675    0.0000    0.0590    0.0000   -0.4074
 1870.0    0.0000    0.5168    0.0000   -1.0595    0.0000   -0.6442           0.0000    0.6911    0.0000    0.0496    0.0000   -0.4151
 1875.0    0.0000    0.5322    0.0000   -1.0346    0.0000   -0.6574           0.0000    0.7136    0.0000    0.0430    0.0000   -0.4229
 1880.0    0.0000    0.5462    0.0000   -1.0071    0.0000   -0.6708           0.0000    0.7361    0.0000    0.0355    0.0000   -0.4309
 1885.0    0.0000    0.5592    0.0000   -0.9817    0.0000   -0.6842           0.0000    0.7579    0.0000    0.0303    0.0000   -0.4391
 1890.0    0.0000    0.5711    0.0000   -0.9530    0.0000   -0.6980           0.0000    0.7787    0.0000    0.0275    0.0000   -0.4473
 1895.0    0.0000    0.5817    0.0000   -0.9267    0.0000   -0.7116           0.0000    0.7992    0.0000    0.0239    0.0000   -0.4556
 1900.0    0.0000    0.5913    0.0000   -0.9013    0.0000   -0.7254           0.0000    0.8190    0.0000    0.0239    0.0000   -0.4640
 1905.0    0.0000    0.6004    0.0000   -0.8743    0.0000   -0.7391           0.0000    0.8383    0.0000    0.0230    0.0000   -0.4724
 1910.0    0.0000    0.6085    0.0000   -0.8492    0.0000   -0.7528           0.0000    0.8564    0.0000    0.0243    0.0000   -0.4809
 1915.0    0.0000    0.6158    0.0000   -0.8222    0.0000   -0.7666           0.0000    0.8739    0.0000    0.0273    0.0000   -0.4895
 1920.0    0.0000    0.6226    0.0000   -0.7984    0.0000   -0.7803           0.0000    0.8909    0.0000    0.0306    0.0000   -0.4980
 1925.0    0.0000    0.6285    0.0000   -0.7729    0.0000   -0.7939           0.0000    0.9073    0.0000    0.0350    0.0000   -0.5064
 1930.0    0.0000    0.6341    0.0000   -0.7492    0.0000   -0.8074           0.0000    0.9225    0.0000    0.0405    0.0000   -0.5149
 1935.0    0.0000    0.6388    0.0000   -0.7250    0.0000   -0.8208           0.0000    0.9371    0.0000    0.0465    0.0000   -0.5232
