!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05    1
!                    PI0P Waves for L= 4    1/22/21
!  WCM     G37  pE   G37  pM   G17  pE   G17  pM   G17  nE   G17  nM
 1785.0   -0.3450    0.0105    0.2472    0.1721   -0.3070   -0.1147           0.0016    0.0054    0.0258    0.0403   -0.0265   -0.0128
 1790.0   -0.3437    0.0118    0.2472    0.1742   -0.3070   -0.1148           0.0016    0.0058    0.0265    0.0421   -0.0271   -0.0133
 1795.0   -0.3423    0.0131    0.2471    0.1763   -0.3070   -0.1149           0.0016    0.0061    0.0272    0.0440   -0.0277   -0.0138
 1800.0   -0.3410    0.0145    0.2471    0.1784   -0.3070   -0.1150           0.0017    0.0065    0.0279    0.0459   -0.0284   -0.0143
 1805.0   -0.3396    0.0159    0.2471    0.1806   -0.3070   -0.1151           0.0017    0.0068    0.0287    0.0479   -0.0290   -0.0148
 1810.0   -0.3382    0.0174    0.2470    0.1827   -0.3069   -0.1151           0.0017    0.0072    0.0295    0.0500   -0.0297   -0.0153
 1815.0   -0.3369    0.0190    0.2470    0.1848   -0.3068   -0.1152           0.0018    0.0076    0.0303    0.0521   -0.0304   -0.0159
 1820.0   -0.3355    0.0205    0.2470    0.1869   -0.3067   -0.1152           0.0018    0.0080    0.0311    0.0544   -0.0310   -0.0165
 1825.0   -0.3340    0.0223    0.2470    0.1890   -0.3065   -0.1153           0.0018    0.0084    0.0319    0.0567   -0.0317   -0.0170
 1830.0   -0.3326    0.0241    0.2470    0.1911   -0.3064   -0.1153           0.0019    0.0089    0.0327    0.0591   -0.0324   -0.0176
 1835.0   -0.3312    0.0260    0.2470    0.1931   -0.3062   -0.1154           0.0019    0.0094    0.0335    0.0617   -0.0331   -0.0183
 1840.0   -0.3298    0.0279    0.2470    0.1952   -0.3059   -0.1154           0.0019    0.0099    0.0344    0.0643   -0.0337   -0.0189
 1845.0   -0.3283    0.0300    0.2470    0.1972   -0.3057   -0.1155           0.0020    0.0104    0.0353    0.0670   -0.0344   -0.0195
 1850.0   -0.3268    0.0322    0.2469    0.1992   -0.3054   -0.1155           0.0020    0.0109    0.0362    0.0698   -0.0351   -0.0202
 1855.0   -0.3254    0.0345    0.2469    0.2011   -0.3051   -0.1155           0.0020    0.0114    0.0371    0.0727   -0.0358   -0.0209
 1860.0   -0.3239    0.0369    0.2469    0.2031   -0.3047   -0.1156           0.0021    0.0120    0.0380    0.0757   -0.0364   -0.0216
 1865.0   -0.3224    0.0394    0.2469    0.2049   -0.3043   -0.1156           0.0021    0.0126    0.0389    0.0788   -0.0371   -0.0223
 1870.0   -0.3209    0.0421    0.2469    0.2067   -0.3039   -0.1157           0.0021    0.0132    0.0399    0.0820   -0.0377   -0.0231
 1875.0   -0.3194    0.0449    0.2469    0.2085   -0.3034   -0.1157           0.0022    0.0139    0.0408    0.0853   -0.0384   -0.0238
 1880.0   -0.3179    0.0479    0.2469    0.2102   -0.3029   -0.1158           0.0022    0.0145    0.0418    0.0887   -0.0390   -0.0246
 1885.0   -0.3163    0.0510    0.2469    0.2118   -0.3023   -0.1159           0.0022    0.0152    0.0428    0.0922   -0.0396   -0.0254
 1890.0   -0.3148    0.0543    0.2469    0.2134   -0.3018   -0.1161           0.0022    0.0159    0.0438    0.0959   -0.0402   -0.0262
 1895.0   -0.3133    0.0577    0.2469    0.2148   -0.3011   -0.1162           0.0023    0.0167    0.0448    0.0996   -0.0408   -0.0270
 1900.0   -0.3117    0.0613    0.2468    0.2162   -0.3005   -0.1164           0.0023    0.0174    0.0458    0.1034   -0.0414   -0.0279
 1905.0   -0.3101    0.0650    0.2468    0.2174   -0.2998   -0.1166           0.0023    0.0182    0.0468    0.1074   -0.0419   -0.0287
 1910.0   -0.3086    0.0690    0.2467    0.2186   -0.2990   -0.1169           0.0024    0.0190    0.0478    0.1115   -0.0425   -0.0296
 1915.0   -0.3070    0.0732    0.2467    0.2196   -0.2982   -0.1172           0.0024    0.0199    0.0488    0.1156   -0.0430   -0.0305
 1920.0   -0.3054    0.0775    0.2466    0.2205   -0.2974   -0.1175           0.0024    0.0207    0.0498    0.1199   -0.0434   -0.0314
 1925.0   -0.3038    0.0820    0.2465    0.2213   -0.2965   -0.1179           0.0025    0.0217    0.0508    0.1242   -0.0438   -0.0323
 1930.0   -0.3022    0.0867    0.2464    0.2219   -0.2956   -0.1184           0.0025    0.0226    0.0518    0.1286   -0.0442   -0.0332
 1935.0   -0.3006    0.0917    0.2463    0.2223   -0.2947   -0.1189           0.0025    0.0235    0.0528    0.1332   -0.0446   -0.0341
 1940.0   -0.2990    0.0968    0.2462    0.2226   -0.2937   -0.1195           0.0026    0.0245    0.0537    0.1378   -0.0449   -0.0350
 1945.0   -0.2974    0.1022    0.2460    0.2228   -0.2927   -0.1202           0.0026    0.0256    0.0547    0.1424   -0.0451   -0.0359
 1950.0   -0.2958    0.1079    0.2458    0.2227   -0.2916   -0.1210           0.0026    0.0266    0.0556    0.1472   -0.0453   -0.0368
 1955.0   -0.2941    0.1137    0.2456    0.2224   -0.2905   -0.1219           0.0027    0.0277    0.0566    0.1519   -0.0455   -0.0377
 1960.0   -0.2925    0.1198    0.2454    0.2220   -0.2894   -0.1229           0.0027    0.0288    0.0575    0.1568   -0.0456   -0.0386
 1965.0   -0.2909    0.1261    0.2451    0.2213   -0.2883   -0.1240           0.0027    0.0300    0.0583    0.1616   -0.0456   -0.0395
 1970.0   -0.2892    0.1327    0.2448    0.2204   -0.2871   -0.1252           0.0028    0.0312    0.0591    0.1665   -0.0456   -0.0404
 1975.0   -0.2876    0.1395    0.2445    0.2193   -0.2859   -0.1265           0.0028    0.0324    0.0599    0.1714   -0.0455   -0.0413
 1980.0   -0.2859    0.1466    0.2442    0.2180   -0.2847   -0.1279           0.0028    0.0337    0.0607    0.1763   -0.0453   -0.0421
 1985.0   -0.2842    0.1539    0.2438    0.2164   -0.2835   -0.1295           0.0029    0.0350    0.0614    0.1811   -0.0451   -0.0429
 1990.0   -0.2825    0.1615    0.2434    0.2146   -0.2822   -0.1313           0.0029    0.0364    0.0621    0.1859   -0.0448   -0.0437
 1995.0   -0.2809    0.1694    0.2429    0.2126   -0.2810   -0.1332           0.0029    0.0378    0.0627    0.1907   -0.0444   -0.0445
 2000.0   -0.2792    0.1775    0.2424    0.2103   -0.2797   -0.1352           0.0029    0.0392    0.0632    0.1954   -0.0439   -0.0452
 2005.0   -0.2775    0.1860    0.2419    0.2078   -0.2785   -0.1374           0.0030    0.0407    0.0637    0.2000   -0.0434   -0.0459
 2010.0   -0.2758    0.1947    0.2413    0.2051   -0.2773   -0.1397           0.0030    0.0422    0.0642    0.2045   -0.0428   -0.0466
 2015.0   -0.2741    0.2037    0.2407    0.2021   -0.2760   -0.1422           0.0030    0.0437    0.0645    0.2089   -0.0421   -0.0472
 2020.0   -0.2724    0.2130    0.2400    0.1989   -0.2749   -0.1449           0.0031    0.0453    0.0649    0.2132   -0.0413   -0.0477
