!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 0   10/ 7/19
!  WCM     S31  pE   S31  pM   S11  pE   S11  pM   S11  nE   S11  nM
 1575.0  -11.5494    0.0000    1.7365    0.0000   -0.9134    0.0000           2.0093    0.0000    4.8923    0.0000   -3.3562    0.0000
 1580.0  -11.4201    0.0000    1.7226    0.0000   -0.8527    0.0000           1.5631    0.0000    4.7777    0.0000   -3.1668    0.0000
 1585.0  -11.2227    0.0000    1.7158    0.0000   -0.7922    0.0000           1.1162    0.0000    4.6783    0.0000   -2.9885    0.0000
 1590.0  -10.9564    0.0000    1.7118    0.0000   -0.7312    0.0000           0.6855    0.0000    4.5955    0.0000   -2.8179    0.0000
 1595.0  -10.6382    0.0000    1.7102    0.0000   -0.6681    0.0000           0.2785    0.0000    4.5281    0.0000   -2.6530    0.0000
 1600.0  -10.2601    0.0000    1.7091    0.0000   -0.6033    0.0000          -0.0809    0.0000    4.4761    0.0000   -2.4895    0.0000
 1605.0   -9.8454    0.0000    1.7061    0.0000   -0.5370    0.0000          -0.3928    0.0000    4.4355    0.0000   -2.3259    0.0000
 1610.0   -9.4009    0.0000    1.7000    0.0000   -0.4709    0.0000          -0.6430    0.0000    4.4163    0.0000   -2.1576    0.0000
 1615.0   -8.9385    0.0000    1.6906    0.0000   -0.4072    0.0000          -0.8284    0.0000    4.4084    0.0000   -1.9819    0.0000
 1620.0   -8.4764    0.0000    1.6662    0.0000   -0.3513    0.0000          -0.9602    0.0000    4.4165    0.0000   -1.7969    0.0000
 1625.0   -8.0235    0.0000    1.6362    0.0000   -0.3058    0.0000          -1.0321    0.0000    4.4349    0.0000   -1.6027    0.0000
 1630.0   -7.5943    0.0000    1.5886    0.0000   -0.2795    0.0000          -1.0580    0.0000    4.4729    0.0000   -1.3986    0.0000
 1635.0   -7.1861    0.0000    1.5093    0.0000   -0.2792    0.0000          -1.0476    0.0000    4.5158    0.0000   -1.1909    0.0000
 1640.0   -6.8098    0.0000    1.4176    0.0000   -0.3068    0.0000          -0.9885    0.0000    4.5467    0.0000   -0.9882    0.0000
 1645.0   -6.4641    0.0000    1.2876    0.0000   -0.3654    0.0000          -0.9166    0.0000    4.5837    0.0000   -0.7996    0.0000
 1650.0   -6.1515    0.0000    1.1480    0.0000   -0.4476    0.0000          -0.8259    0.0000    4.5998    0.0000   -0.6364    0.0000
 1655.0   -5.8684    0.0000    0.9791    0.0000   -0.5465    0.0000          -0.7194    0.0000    4.5980    0.0000   -0.5053    0.0000
 1660.0   -5.6132    0.0000    0.8176    0.0000   -0.6482    0.0000          -0.6006    0.0000    4.5591    0.0000   -0.4086    0.0000
 1665.0   -5.3870    0.0000    0.6535    0.0000   -0.7437    0.0000          -0.4843    0.0000    4.5067    0.0000   -0.3428    0.0000
 1670.0   -5.1850    0.0000    0.5003    0.0000   -0.8256    0.0000          -0.3728    0.0000    4.4237    0.0000   -0.3016    0.0000
 1675.0   -5.0032    0.0000    0.3562    0.0000   -0.8912    0.0000          -0.2512    0.0000    4.3362    0.0000   -0.2772    0.0000
 1680.0   -4.8420    0.0000    0.2206    0.0000   -0.9409    0.0000          -0.1362    0.0000    4.2310    0.0000   -0.2635    0.0000
 1685.0   -4.6975    0.0000    0.1021    0.0000   -0.9754    0.0000          -0.0255    0.0000    4.1222    0.0000   -0.2555    0.0000
 1690.0   -4.5697    0.0000   -0.0085    0.0000   -0.9973    0.0000           0.0758    0.0000    4.0082    0.0000   -0.2497    0.0000
 1695.0   -4.4549    0.0000   -0.1091    0.0000   -1.0087    0.0000           0.1728    0.0000    3.8861    0.0000   -0.2443    0.0000
 1700.0   -4.3505    0.0000   -0.2031    0.0000   -1.0127    0.0000           0.2657    0.0000    3.7710    0.0000   -0.2377    0.0000
 1705.0   -4.2572    0.0000   -0.2800    0.0000   -1.0097    0.0000           0.3488    0.0000    3.6481    0.0000   -0.2300    0.0000
 1710.0   -4.1741    0.0000   -0.3616    0.0000   -1.0036    0.0000           0.4284    0.0000    3.5371    0.0000   -0.2200    0.0000
 1715.0   -4.0953    0.0000   -0.4250    0.0000   -0.9936    0.0000           0.4974    0.0000    3.4031    0.0000   -0.2100    0.0000
 1720.0   -4.0248    0.0000   -0.4889    0.0000   -0.9814    0.0000           0.5600    0.0000    3.2786    0.0000   -0.1985    0.0000
 1725.0   -3.9587    0.0000   -0.5434    0.0000   -0.9674    0.0000           0.6147    0.0000    3.1477    0.0000   -0.1874    0.0000
 1730.0   -3.8987    0.0000   -0.5848    0.0000   -0.9524    0.0000           0.6672    0.0000    3.0261    0.0000   -0.1751    0.0000
