!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 2   10/ 7/19
!  WCM     D33  pE   D33  pM   D13  pE   D13  pM   D13  nE   D13  nM
 1395.0   -7.5483   -0.2431    4.7495    1.7059   -5.9342   -0.9068          -0.4495    0.1304    1.1349    0.5885   -1.4799   -0.5385
 1400.0   -7.5554   -0.2218    4.8072    1.7411   -5.9951   -0.8855          -0.4944    0.1403    1.2442    0.6369   -1.5993   -0.5626
 1405.0   -7.5608   -0.2004    4.8593    1.7750   -6.0507   -0.8642          -0.5422    0.1507    1.3639    0.6895   -1.7297   -0.5877
 1410.0   -7.5645   -0.1787    4.9127    1.8097   -6.1091   -0.8420          -0.5931    0.1615    1.4944    0.7469   -1.8719   -0.6139
 1415.0   -7.5663   -0.1568    4.9641    1.8437   -6.1667   -0.8179          -0.6471    0.1726    1.6376    0.8098   -2.0278   -0.6413
 1420.0   -7.5663   -0.1347    5.0135    1.8777   -6.2234   -0.7931          -0.7044    0.1841    1.7944    0.8786   -2.1986   -0.6699
 1425.0   -7.5722   -0.1129    5.0579    1.9100   -6.2757   -0.7672          -0.7650    0.1959    1.9664    0.9543   -2.3860   -0.7003
 1430.0   -7.5686   -0.0906    5.0965    1.9409   -6.3234   -0.7391          -0.8291    0.2084    2.1545    1.0375   -2.5918   -0.7314
 1435.0   -7.5554   -0.0677    5.1296    1.9698   -6.3666   -0.7088          -0.8968    0.2211    2.3608    1.1292   -2.8177   -0.7646
 1440.0   -7.5480   -0.0452    5.1510    1.9949   -6.3974   -0.6775          -0.9681    0.2345    2.5874    1.2299   -3.0665   -0.7986
 1445.0   -7.5386   -0.0225    5.1593    2.0151   -6.4155   -0.6427          -1.0433    0.2482    2.8355    1.3409   -3.3396   -0.8345
 1450.0   -7.5272    0.0003    5.1503    2.0291   -6.4161   -0.6044          -1.1223    0.2626    3.1064    1.4631   -3.6390   -0.8717
 1455.0   -7.5137    0.0231    5.1198    2.0347   -6.3946   -0.5618          -1.2056    0.2774    3.4010    1.5970   -3.9659   -0.9096
 1460.0   -7.4904    0.0461    5.0608    2.0285   -6.3413   -0.5151          -1.2930    0.2929    3.7199    1.7432   -4.3212   -0.9480
 1465.0   -7.4725    0.0689    4.9669    2.0082   -6.2505   -0.4627          -1.3846    0.3090    4.0610    1.9018   -4.7040   -0.9856
 1470.0   -7.4475    0.0916    4.8296    1.9689   -6.1116   -0.4047          -1.4807    0.3257    4.4239    2.0721   -5.1121   -1.0230
 1475.0   -7.4201    0.1143    4.6401    1.9075   -5.9158   -0.3379          -1.5812    0.3431    4.8030    2.2532   -5.5434   -1.0556
 1480.0   -7.3884    0.1370    4.3880    1.8175   -5.6479   -0.2659          -1.6865    0.3613    5.1883    2.4405   -5.9834   -1.0851
 1485.0   -7.3538    0.1593    4.0652    1.6958   -5.3009   -0.1856          -1.7967    0.3801    5.5696    2.6292   -6.4196   -1.1095
 1490.0   -7.3147    0.1813    3.6652    1.5373   -4.8645   -0.0988          -1.9115    0.3997    5.9291    2.8128   -6.8384   -1.1229
 1495.0   -7.2715    0.2030    3.1865    1.3411   -4.3366   -0.0067          -2.0314    0.4202    6.2478    2.9821   -7.2152   -1.1246
 1500.0   -7.2232    0.2245    2.6357    1.1082   -3.7201    0.0872          -2.1561    0.4415    6.4994    3.1255   -7.5187   -1.1129
 1505.0   -7.1695    0.2454    2.0261    0.8439   -3.0299    0.1800          -2.2858    0.4637    6.6658    3.2328   -7.7267   -1.0860
 1510.0   -7.1102    0.2657    1.3828    0.5574   -2.2910    0.2662          -2.4204    0.4868    6.7252    3.2950   -7.8145   -1.0420
 1515.0   -7.0448    0.2853    0.7320    0.2610   -1.5365    0.3429          -2.5605    0.5108    6.6730    3.3065   -7.7704   -0.9845
 1520.0   -6.9731    0.3044    0.1061   -0.0312   -0.8040    0.4061          -2.7042    0.5358    6.5080    3.2650   -7.5883   -0.9172
 1525.0   -6.8938    0.3225   -0.4667   -0.3052   -0.1285    0.4539          -2.8540    0.5618    6.2448    3.1743   -7.2827   -0.8448
 1530.0   -6.8066    0.3397   -0.9650   -0.5504    0.4622    0.4859          -3.0074    0.5886    5.9018    3.0437   -6.8793   -0.7683
 1535.0   -6.7109    0.3558   -1.3765   -0.7595    0.9513    0.5029          -3.1646    0.6167    5.5043    2.8824   -6.4045   -0.6936
 1540.0   -6.6062    0.3705   -1.6983   -0.9294    1.3332    0.5068          -3.3276    0.6456    5.0812    2.7032   -5.8916   -0.6242
 1545.0   -6.4914    0.3840   -1.9356   -1.0612    1.6119    0.5004          -3.4915    0.6754    4.6526    2.5159   -5.3663   -0.5616
 1550.0   -6.3666    0.3960   -2.0981   -1.1581    1.7979    0.4863          -3.6611    0.7061    4.2339    2.3288   -4.8509   -0.5060
