!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 3   10/ 7/19
!  WCM     F35  pE   F35  pM   F15  pE   F15  pM   F15  nE   F15  nM
 1640.0   -0.5859   -0.0023    1.8297    0.9333   -0.4815   -0.6926           0.1209    0.1164    1.9597    1.1001   -0.3342   -0.5423
 1645.0   -0.5783    0.0049    1.7252    0.8896   -0.4521   -0.6752           0.1251    0.1221    2.1257    1.2063   -0.3503   -0.6043
 1650.0   -0.5708    0.0121    1.5890    0.8275   -0.4194   -0.6480           0.1295    0.1280    2.2847    1.3128   -0.3643   -0.6677
 1655.0   -0.5633    0.0193    1.4212    0.7448   -0.3825   -0.6087           0.1340    0.1343    2.4324    1.4149   -0.3747   -0.7304
 1660.0   -0.5560    0.0266    1.2218    0.6416   -0.3424   -0.5573           0.1388    0.1409    2.5586    1.5073   -0.3805   -0.7891
 1665.0   -0.5487    0.0338    0.9959    0.5199   -0.3005   -0.4945           0.1439    0.1479    2.6537    1.5845   -0.3809   -0.8408
 1670.0   -0.5416    0.0410    0.7514    0.3832   -0.2581   -0.4220           0.1491    0.1553    2.7106    1.6409   -0.3753   -0.8823
 1675.0   -0.5346    0.0482    0.4982    0.2371   -0.2168   -0.3425           0.1546    0.1631    2.7263    1.6734   -0.3635   -0.9113
 1680.0   -0.5278    0.0552    0.2474    0.0882   -0.1782   -0.2596           0.1602    0.1712    2.6982    1.6795   -0.3459   -0.9258
 1685.0   -0.5212    0.0622    0.0100   -0.0566   -0.1436   -0.1770           0.1661    0.1798    2.6298    1.6602   -0.3235   -0.9260
 1690.0   -0.5148    0.0690   -0.2050   -0.1916   -0.1138   -0.0982           0.1723    0.1889    2.5273    1.6179   -0.2973   -0.9125
 1695.0   -0.5087    0.0756   -0.3917   -0.3122   -0.0892   -0.0260           0.1786    0.1984    2.3986    1.5573   -0.2692   -0.8878
 1700.0   -0.5029    0.0820   -0.5476   -0.4160   -0.0697    0.0379           0.1853    0.2084    2.2527    1.4837   -0.2411   -0.8550
 1705.0   -0.4973    0.0880   -0.6725   -0.5020   -0.0549    0.0926           0.1922    0.2188    2.0979    1.4012   -0.2129   -0.8157
 1710.0   -0.4921    0.0938   -0.7686   -0.5709   -0.0441    0.1381           0.1993    0.2298    1.9417    1.3145   -0.1860   -0.7728
 1715.0   -0.4873    0.0992   -0.8390   -0.6241   -0.0365    0.1750           0.2066    0.2411    1.7891    1.2273   -0.1610   -0.7288
 1720.0   -0.4830    0.1040   -0.8879   -0.6634   -0.0315    0.2040           0.2142    0.2531    1.6423    1.1420   -0.1383   -0.6846
 1725.0   -0.4790    0.1085   -0.9190   -0.6912   -0.0284    0.2264           0.2219    0.2654    1.5053    1.0602   -0.1176   -0.6414
 1730.0   -0.4757    0.1123   -0.9359   -0.7092   -0.0266    0.2430           0.2298    0.2782    1.3793    0.9832   -0.0989   -0.6002
 1735.0   -0.4729    0.1154   -0.9419   -0.7195   -0.0257    0.2549           0.2379    0.2914    1.2635    0.9115   -0.0824   -0.5614
 1740.0   -0.4706    0.1178   -0.9394   -0.7235   -0.0253    0.2630           0.2461    0.3050    1.1585    0.8451   -0.0678   -0.5251
 1745.0   -0.4691    0.1194   -0.9307   -0.7227   -0.0252    0.2680           0.2543    0.3189    1.0635    0.7842   -0.0548   -0.4914
 1750.0   -0.4681    0.1200   -0.9175   -0.7180   -0.0252    0.2705           0.2625    0.3331    0.9781    0.7284   -0.0432   -0.4603
 1755.0   -0.4679    0.1199   -0.9012   -0.7106   -0.0252    0.2711           0.2706    0.3473    0.9011    0.6774   -0.0330   -0.4316
 1760.0   -0.4684    0.1186   -0.8830   -0.7012   -0.0249    0.2702           0.2787    0.3618    0.8321    0.6310   -0.0238   -0.4053
 1765.0   -0.4697    0.1163   -0.8637   -0.6903   -0.0245    0.2682           0.2865    0.3762    0.7703    0.5887   -0.0157   -0.3812
 1770.0   -0.4717    0.1130   -0.8437   -0.6782   -0.0238    0.2652           0.2940    0.3904    0.7146    0.5500   -0.0084   -0.3590
 1775.0   -0.4745    0.1084   -0.8234   -0.6654   -0.0228    0.2616           0.3012    0.4043    0.6647    0.5147   -0.0018   -0.3386
 1780.0   -0.4781    0.1028   -0.8034   -0.6521   -0.0214    0.2575           0.3080    0.4180    0.6199    0.4825    0.0042   -0.3198
 1785.0   -0.4824    0.0960   -0.7840   -0.6388   -0.0198    0.2532           0.3141    0.4310    0.5797    0.4531    0.0097   -0.3026
 1790.0   -0.4873    0.0883   -0.7650   -0.6253   -0.0179    0.2485           0.3195    0.4433    0.5432    0.4260    0.0147   -0.2867
 1795.0   -0.4928    0.0795   -0.7469   -0.6119   -0.0157    0.2437           0.3244    0.4548    0.5104    0.4012    0.0194   -0.2720
 1800.0   -0.4990    0.0698   -0.7295   -0.5986   -0.0133    0.2388           0.3283    0.4653    0.4808    0.3784    0.0238   -0.2585
 1805.0   -0.5055    0.0591   -0.7129   -0.5855   -0.0106    0.2338           0.3313    0.4747    0.4539    0.3573    0.0279   -0.2459
 1810.0   -0.5124    0.0480   -0.6971   -0.5727   -0.0077    0.2290           0.3334    0.4829    0.4297    0.3380    0.0318   -0.2343
 1815.0   -0.5195    0.0362   -0.6822   -0.5602   -0.0046    0.2241           0.3345    0.4897    0.4078    0.3202    0.0355   -0.2236
 1820.0   -0.5268    0.0240   -0.6681   -0.5481   -0.0013    0.2193           0.3346    0.4952    0.3878    0.3036    0.0391   -0.2135
 1825.0   -0.5340    0.0116   -0.6546   -0.5363    0.0022    0.2146           0.3337    0.4993    0.3695    0.2881    0.0425   -0.2041
 1830.0   -0.5411   -0.0008   -0.6420   -0.5248    0.0058    0.2100           0.3318    0.5019    0.3530    0.2738    0.0459   -0.1954
 1835.0   -0.5481   -0.0130   -0.6300   -0.5137    0.0096    0.2054           0.3289    0.5031    0.3379    0.2604    0.0492   -0.1872
 1840.0   -0.5547   -0.0250   -0.6185   -0.5030    0.0134    0.2010           0.3252    0.5030    0.3240    0.2480    0.0524   -0.1795
 1845.0   -0.5609   -0.0364   -0.6077   -0.4925    0.0173    0.1967           0.3205    0.5015    0.3114    0.2364    0.0556   -0.1724
 1850.0   -0.5665   -0.0473   -0.5974   -0.4825    0.0213    0.1925           0.3151    0.4988    0.2998    0.2256    0.0588   -0.1657
 1855.0   -0.5717   -0.0574   -0.5876   -0.4727    0.0254    0.1883           0.3089    0.4949    0.2892    0.2153    0.0619   -0.1593
 1860.0   -0.5761   -0.0666   -0.5782   -0.4634    0.0294    0.1844           0.3022    0.4901    0.2793    0.2057    0.0651   -0.1533
 1865.0   -0.5799   -0.0749   -0.5694   -0.4544    0.0334    0.1806           0.2949    0.4844    0.2704    0.1967    0.0683   -0.1476
 1870.0   -0.5831   -0.0823   -0.5607   -0.4455    0.0374    0.1768           0.2872    0.4779    0.2620    0.1883    0.0714   -0.1423
 1875.0   -0.5856   -0.0887   -0.5519   -0.4370    0.0416    0.1730           0.2791    0.4708    0.2544    0.1803    0.0746   -0.1372
 1880.0   -0.5873   -0.0939   -0.5439   -0.4287    0.0455    0.1694           0.2709    0.4632    0.2473    0.1727    0.0778   -0.1324
 1885.0   -0.5884   -0.0981   -0.5358   -0.4208    0.0494    0.1659           0.2623    0.4552    0.2408    0.1656    0.0810   -0.1279
 1890.0   -0.5889   -0.1014   -0.5281   -0.4130    0.0532    0.1624           0.2537    0.4470    0.2346    0.1588    0.0843   -0.1236
 1895.0   -0.5887   -0.1036   -0.5200   -0.4057    0.0570    0.1591           0.2451    0.4386    0.2290    0.1524    0.0875   -0.1194
 1900.0   -0.5879   -0.1047   -0.5123   -0.3985    0.0607    0.1559           0.2364    0.4301    0.2237    0.1463    0.0908   -0.1155
 1905.0   -0.5865   -0.1050   -0.5043   -0.3915    0.0643    0.1526           0.2278    0.4216    0.2188    0.1406    0.0941   -0.1118
 1910.0   -0.5847   -0.1043   -0.4968   -0.3846    0.0677    0.1493           0.2193    0.4132    0.2141    0.1351    0.0975   -0.1082
 1915.0   -0.5824   -0.1029   -0.4889   -0.3782    0.0709    0.1464           0.2109    0.4050    0.2098    0.1299    0.1008   -0.1048
 1920.0   -0.5796   -0.1005   -0.4810   -0.3718    0.0740    0.1433           0.2027    0.3970    0.2058    0.1249    0.1042   -0.1015
 1925.0   -0.5764   -0.0974   -0.4728   -0.3658    0.0769    0.1405           0.1947    0.3893    0.2019    0.1201    0.1075   -0.0984
 1930.0   -0.5728   -0.0936   -0.4645   -0.3597    0.0798    0.1374           0.1868    0.3819    0.1983    0.1156    0.1109   -0.0954
 1935.0   -0.5689   -0.0892   -0.4560   -0.3541    0.0824    0.1347           0.1792    0.3748    0.1948    0.1113    0.1142   -0.0925
 1940.0   -0.5648   -0.0841   -0.4477   -0.3485    0.0846    0.1318           0.1717    0.3679    0.1916    0.1071    0.1176   -0.0898
 1945.0   -0.5603   -0.0785   -0.4386   -0.3431    0.0869    0.1291           0.1645    0.3616    0.1884    0.1032    0.1209   -0.0871
 1950.0   -0.5556   -0.0724   -0.4295   -0.3379    0.0888    0.1264           0.1575    0.3556    0.1854    0.0994    0.1242   -0.0846
 1955.0   -0.5507   -0.0658   -0.4206   -0.3326    0.0904    0.1235           0.1508    0.3500    0.1825    0.0958    0.1275   -0.0822
 1960.0   -0.5456   -0.0587   -0.4110   -0.3276    0.0919    0.1208           0.1442    0.3449    0.1797    0.0923    0.1307   -0.0798
 1965.0   -0.5403   -0.0513   -0.4014   -0.3228    0.0931    0.1181           0.1379    0.3401    0.1769    0.0890    0.1339   -0.0775
 1970.0   -0.5350   -0.0434   -0.3917   -0.3180    0.0939    0.1154           0.1318    0.3358    0.1742    0.0858    0.1371   -0.0753
 1975.0   -0.5295   -0.0354   -0.3812   -0.3134    0.0946    0.1128           0.1259    0.3319    0.1716    0.0827    0.1402   -0.0732
 1980.0   -0.5238   -0.0270   -0.3708   -0.3091    0.0948    0.1103           0.1202    0.3284    0.1689    0.0797    0.1432   -0.0712
 1985.0   -0.5181   -0.0183   -0.3599   -0.3048    0.0951    0.1076           0.1147    0.3254    0.1662    0.0769    0.1461   -0.0693
 1990.0   -0.5123   -0.0092   -0.3486   -0.3007    0.0948    0.1052           0.1095    0.3228    0.1635    0.0742    0.1490   -0.0674
 1995.0   -0.5065   -0.0001   -0.3373   -0.2966    0.0943    0.1025           0.1043    0.3206    0.1608    0.0715    0.1517   -0.0656
 2000.0   -0.5005    0.0094   -0.3255   -0.2928    0.0935    0.1001           0.0994    0.3188    0.1580    0.0690    0.1544   -0.0638
 2005.0   -0.4946    0.0188   -0.3135   -0.2889    0.0924    0.0976           0.0946    0.3174    0.1550    0.0666    0.1569   -0.0622
 2010.0   -0.4886    0.0286   -0.3021   -0.2850    0.0909    0.0948           0.0900    0.3164    0.1520    0.0642    0.1593   -0.0606
 2015.0   -0.4826    0.0385   -0.2894   -0.2815    0.0892    0.0924           0.0855    0.3158    0.1488    0.0620    0.1616   -0.0590
 2020.0   -0.4766    0.0484   -0.2769   -0.2779    0.0872    0.0898           0.0812    0.3156    0.1454    0.0598    0.1637   -0.0575
