!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 3   10/ 7/19
!  WCM     F37  pE   F37  pM   F17  pE   F17  pM   F17  nE   F17  nM
 1480.0   -0.2725    0.5595    0.1915   -0.1812   -0.1906    0.1735          -0.0025    0.0094    0.0001    0.0003   -0.0001    0.0001
 1485.0   -0.2716    0.5704    0.1911   -0.1814   -0.1902    0.1736          -0.0024    0.0113    0.0001    0.0003   -0.0001    0.0001
 1490.0   -0.2704    0.5807    0.1908   -0.1817   -0.1899    0.1738          -0.0023    0.0133    0.0001    0.0003   -0.0001    0.0001
 1495.0   -0.2694    0.5917    0.1903   -0.1818   -0.1894    0.1738          -0.0022    0.0154    0.0001    0.0003   -0.0001    0.0001
 1500.0   -0.2684    0.6027    0.1899   -0.1819   -0.1889    0.1738          -0.0021    0.0178    0.0002    0.0003   -0.0002    0.0001
 1505.0   -0.2670    0.6132    0.1894   -0.1820   -0.1884    0.1738          -0.0020    0.0203    0.0002    0.0003   -0.0002    0.0002
 1510.0   -0.2660    0.6243    0.1889   -0.1820   -0.1879    0.1737          -0.0019    0.0231    0.0002    0.0003   -0.0002    0.0002
 1515.0   -0.2648    0.6355    0.1886   -0.1822   -0.1876    0.1737          -0.0018    0.0260    0.0002    0.0004   -0.0002    0.0002
 1520.0   -0.2637    0.6468    0.1881   -0.1822   -0.1871    0.1736          -0.0016    0.0292    0.0003    0.0004   -0.0003    0.0002
 1525.0   -0.2625    0.6582    0.1876   -0.1821   -0.1866    0.1734          -0.0015    0.0325    0.0003    0.0004   -0.0003    0.0003
 1530.0   -0.2613    0.6696    0.1871   -0.1820   -0.1861    0.1732          -0.0013    0.0362    0.0003    0.0004   -0.0003    0.0003
 1535.0   -0.2601    0.6812    0.1868   -0.1821   -0.1857    0.1731          -0.0012    0.0401    0.0003    0.0004   -0.0003    0.0003
 1540.0   -0.2588    0.6929    0.1862   -0.1819   -0.1852    0.1728          -0.0010    0.0442    0.0004    0.0004   -0.0004    0.0003
 1545.0   -0.2575    0.7046    0.1857   -0.1818   -0.1846    0.1725          -0.0009    0.0486    0.0004    0.0004   -0.0004    0.0004
 1550.0   -0.2562    0.7165    0.1852   -0.1816   -0.1841    0.1722          -0.0007    0.0534    0.0004    0.0005   -0.0004    0.0004
 1555.0   -0.2551    0.7293    0.1847   -0.1813   -0.1835    0.1719          -0.0005    0.0584    0.0005    0.0005   -0.0005    0.0004
 1560.0   -0.2537    0.7415    0.1843   -0.1813   -0.1832    0.1716          -0.0003    0.0637    0.0005    0.0005   -0.0005    0.0005
 1565.0   -0.2523    0.7538    0.1838   -0.1810   -0.1826    0.1712          -0.0002    0.0694    0.0005    0.0005   -0.0005    0.0005
 1570.0   -0.2511    0.7670    0.1832   -0.1807   -0.1821    0.1708           0.0001    0.0754    0.0006    0.0005   -0.0006    0.0005
 1575.0   -0.2497    0.7797    0.1827   -0.1804   -0.1815    0.1703           0.0002    0.0819    0.0006    0.0006   -0.0006    0.0006
 1580.0   -0.2484    0.7933    0.1823   -0.1802   -0.1811    0.1699           0.0005    0.0887    0.0007    0.0006   -0.0006    0.0006
 1585.0   -0.2469    0.8064    0.1818   -0.1798   -0.1805    0.1694           0.0007    0.0958    0.0007    0.0006   -0.0007    0.0006
 1590.0   -0.2456    0.8204    0.1812   -0.1795   -0.1800    0.1689           0.0009    0.1035    0.0007    0.0006   -0.0007    0.0007
 1595.0   -0.2444    0.8345    0.1807   -0.1791   -0.1794    0.1683           0.0012    0.1115    0.0008    0.0006   -0.0008    0.0007
 1600.0   -0.2428    0.8483    0.1801   -0.1786   -0.1788    0.1677           0.0014    0.1201    0.0008    0.0007   -0.0008    0.0008
 1605.0   -0.2415    0.8630    0.1797   -0.1783   -0.1784    0.1672           0.0017    0.1291    0.0009    0.0007   -0.0009    0.0008
 1610.0   -0.2401    0.8779    0.1792   -0.1779   -0.1779    0.1665           0.0020    0.1387    0.0009    0.0007   -0.0009    0.0009
 1615.0   -0.2388    0.8930    0.1786   -0.1774   -0.1773    0.1658           0.0023    0.1487    0.0010    0.0007   -0.0010    0.0009
 1620.0   -0.2374    0.9085    0.1781   -0.1769   -0.1767    0.1651           0.0026    0.1594    0.0010    0.0008   -0.0010    0.0010
 1625.0   -0.2359    0.9242    0.1777   -0.1765   -0.1763    0.1646           0.0029    0.1707    0.0011    0.0008   -0.0011    0.0010
 1630.0   -0.2346    0.9403    0.1771   -0.1760   -0.1757    0.1638           0.0032    0.1827    0.0011    0.0008   -0.0011    0.0011
 1635.0   -0.2332    0.9566    0.1766   -0.1754   -0.1752    0.1630           0.0035    0.1953    0.0012    0.0009   -0.0012    0.0011
 1640.0   -0.2317    0.9732    0.1760   -0.1748   -0.1746    0.1622           0.0039    0.2085    0.0013    0.0009   -0.0013    0.0012
