  W(MeV)      Re(E0+)     Im(E0+)    Re(E0-)   Im(E0-)     Re(M0+)    Im(M0+)    Re(M0-)    Im(M0-)    Re(E1+)   Im(E1+)     Re(E1-)   Im(E1-)    Re(M1+)    Im(M1+)    Re(M1-)    Im(M1-)    Re(E2+)   Im(E2+)     Re(E2-)   Im(E2-)     Re(M2+)     Im(M2+)    Re(M2-)    Im(M2-)     Re(E3+)   Im(E3+)     Re(E3-)   Im(E3-)    Re(M3+)    Im(M3+)    Re(M3-)    Im(M3-)     Re(E4+)   Im(E4+)     Re(E4-)   Im(E4-)    Re(M4+)    Im(M4+)    Re(M4-)    Im(M4-)     Re(E5+)   Im(E5+)     Re(E5-)   Im(E5-)    Re(M5+)    Im(M5+)    Re(M5-)    Im(M5-)                                                                                                  
 1235.0000     8.2801     1.4939     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.6895    -0.0726     0.0000     0.0000    -2.1126     0.0912     2.2576     0.1000     0.5371     0.0085     3.2193     0.0330    -0.3859    -0.0058     0.7160     0.0318     0.1763    -0.0000     0.7600    -0.0284    -0.1171     0.0000     0.1618     0.0003     0.0698     0.0000     0.1786     0.0001    -0.0329    -0.0000     0.0387     0.0000     0.0298    -0.0000     0.0645     0.0000    -0.0100     0.0000     0.0136     0.0000
 1240.0000     8.1938     1.4857     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.6829    -0.0747     0.0000     0.0000    -2.1000     0.0938     2.3298     0.1232     0.5383     0.0090     3.2573     0.0312    -0.3867    -0.0061     0.7394     0.0383     0.1782    -0.0000     0.7662    -0.0366    -0.1198     0.0000     0.1661     0.0003     0.0711     0.0000     0.1822     0.0001    -0.0340    -0.0000     0.0399     0.0000     0.0307    -0.0000     0.0665     0.0000    -0.0103     0.0000     0.0141     0.0000
 1245.0000     8.1194     1.4807     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.6762    -0.0768     0.0000     0.0000    -2.0865     0.0963     2.4053     0.1498     0.5393     0.0095     3.2983     0.0315    -0.3871    -0.0063     0.7644     0.0450     0.1799    -0.0000     0.7712    -0.0445    -0.1225     0.0000     0.1704     0.0004     0.0724     0.0000     0.1857     0.0001    -0.0350    -0.0000     0.0410     0.0000     0.0315    -0.0000     0.0683     0.0000    -0.0107     0.0000     0.0147     0.0000
 1250.0000     8.0425     1.4778     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.6694    -0.0788     0.0000     0.0000    -2.0722     0.0986     2.4821     0.1800     0.5400     0.0101     3.3365     0.0337    -0.3872    -0.0066     0.7897     0.0520     0.1816    -0.0000     0.7753    -0.0520    -0.1250     0.0000     0.1746     0.0004     0.0736     0.0000     0.1891     0.0001    -0.0360    -0.0000     0.0421     0.0000     0.0323    -0.0000     0.0701     0.0000    -0.0110     0.0000     0.0153     0.0000
 1255.0000     7.9700     1.4783     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.6625    -0.0808     0.0000     0.0000    -2.0570     0.1009     2.5603     0.2144     0.5405     0.0106     3.3779     0.0377    -0.3869    -0.0068     0.8165     0.0592     0.1831    -0.0001     0.7785    -0.0591    -0.1275     0.0000     0.1787     0.0005     0.0748     0.0000     0.1923     0.0001    -0.0370    -0.0000     0.0432     0.0000     0.0331    -0.0000     0.0719     0.0000    -0.0114     0.0000     0.0158     0.0000
 1260.0000     7.9017     1.4804     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.6554    -0.0827     0.0000     0.0000    -2.0409     0.1030     2.6399     0.2535     0.5404     0.0111     3.4197     0.0434    -0.3859    -0.0070     0.8439     0.0667     0.1845    -0.0001     0.7811    -0.0657    -0.1299     0.0000     0.1829     0.0005     0.0759     0.0000     0.1954     0.0001    -0.0380    -0.0000     0.0443     0.0000     0.0338    -0.0000     0.0736     0.0000    -0.0117     0.0000     0.0164     0.0000
 1265.0000     7.8446     1.4854     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.6483    -0.0846     0.0000     0.0000    -2.0243     0.1051     2.7231     0.2977     0.5405     0.0116     3.4618     0.0510    -0.3849    -0.0071     0.8719     0.0743     0.1858    -0.0001     0.7830    -0.0719    -0.1322     0.0000     0.1870     0.0006     0.0769     0.0000     0.1984     0.0002    -0.0390    -0.0000     0.0454     0.0000     0.0346    -0.0000     0.0753     0.0000    -0.0120     0.0000     0.0169     0.0000
 1270.0000     7.7841     1.4924     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.6411    -0.0864     0.0000     0.0000    -2.0070     0.1069     2.8056     0.3474     0.5405     0.0121     3.5042     0.0602    -0.3836    -0.0073     0.9004     0.0821     0.1870    -0.0001     0.7845    -0.0776    -0.1345     0.0000     0.1910     0.0007     0.0779     0.0000     0.2012     0.0002    -0.0399    -0.0000     0.0464     0.0000     0.0353    -0.0000     0.0769     0.0000    -0.0124     0.0000     0.0175     0.0000
 1275.0000     7.7341     1.5021     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.6338    -0.0882     0.0000     0.0000    -1.9889     0.1087     2.8896     0.4035     0.5403     0.0127     3.5467     0.0712    -0.3819    -0.0074     0.9293     0.0902     0.1882    -0.0001     0.7866    -0.0827    -0.1367     0.0001     0.1952     0.0008     0.0789     0.0000     0.2039     0.0002    -0.0409    -0.0000     0.0474     0.0001     0.0359    -0.0000     0.0784     0.0000    -0.0127     0.0000     0.0180     0.0000
 1280.0000     7.6886     1.5128     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.6265    -0.0899     0.0000     0.0000    -1.9704     0.1104     2.9752     0.4663     0.5400     0.0132     3.5927     0.0838    -0.3800    -0.0075     0.9593     0.0986     0.1892    -0.0001     0.7877    -0.0874    -0.1388     0.0001     0.1993     0.0010     0.0798     0.0000     0.2064     0.0002    -0.0418    -0.0000     0.0484     0.0001     0.0366    -0.0000     0.0799     0.0000    -0.0130     0.0000     0.0185     0.0000
