  W(MeV)      Re(E0+)     Im(E0+)    Re(E0-)   Im(E0-)     Re(M0+)    Im(M0+)    Re(M0-)    Im(M0-)    Re(E1+)   Im(E1+)     Re(E1-)   Im(E1-)    Re(M1+)    Im(M1+)    Re(M1-)    Im(M1-)    Re(E2+)   Im(E2+)     Re(E2-)   Im(E2-)     Re(M2+)     Im(M2+)    Re(M2-)    Im(M2-)     Re(E3+)   Im(E3+)     Re(E3-)   Im(E3-)    Re(M3+)    Im(M3+)    Re(M3-)    Im(M3-)     Re(E4+)   Im(E4+)     Re(E4-)   Im(E4-)    Re(M4+)    Im(M4+)    Re(M4-)    Im(M4-)     Re(E5+)   Im(E5+)     Re(E5-)   Im(E5-)    Re(M5+)    Im(M5+)    Re(M5-)    Im(M5-)                                                                                                  
 1180.0000    -0.4772     4.0068     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.1542    -1.2451     0.0000     0.0000    22.1195    17.2034    -2.5153     0.2286    -0.0029     0.0053    -0.0857     0.0176    -0.2233    -0.0027     0.0426     0.0024     0.0020    -0.0001     0.0474     0.0004    -0.0599     0.0000     0.0580     0.0001    -0.0001     0.0000    -0.0011     0.0000    -0.0005    -0.0000     0.0184     0.0000    -0.0000    -0.0000     0.0001     0.0000     0.0002     0.0000     0.0001     0.0000
 1185.0000    -0.5194     4.0500     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.2818    -1.3496     0.0000     0.0000    22.0757    20.1206    -2.4554     0.2537    -0.0043     0.0059    -0.0990     0.0208    -0.2292    -0.0030     0.0610     0.0030     0.0021    -0.0001     0.0541     0.0005    -0.0606     0.0000     0.0604     0.0002    -0.0001     0.0000    -0.0012     0.0000    -0.0005    -0.0000     0.0186     0.0000    -0.0001    -0.0000     0.0002     0.0000     0.0002     0.0000     0.0000     0.0000
 1190.0000    -0.5541     4.0907     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.4368    -1.4376     0.0000     0.0000    21.5143    23.2204    -2.3882     0.2805    -0.0057     0.0066    -0.1148     0.0243    -0.2348    -0.0034     0.0825     0.0036     0.0021    -0.0002     0.0598     0.0006    -0.0611     0.0000     0.0627     0.0002    -0.0000     0.0000    -0.0012     0.0000    -0.0007    -0.0000     0.0187     0.0000    -0.0000    -0.0000     0.0001     0.0000     0.0003     0.0000     0.0001     0.0000
 1195.0000    -0.5779     4.1292     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.6168    -1.5000     0.0000     0.0000    20.3424    26.3798    -2.3137     0.3090    -0.0071     0.0073    -0.1324     0.0283    -0.2400    -0.0038     0.1062     0.0044     0.0022    -0.0002     0.0652     0.0007    -0.0614     0.0001     0.0648     0.0002    -0.0000     0.0000    -0.0013     0.0000    -0.0007    -0.0000     0.0186     0.0000     0.0000    -0.0000     0.0001     0.0000     0.0003     0.0000     0.0001     0.0000
 1200.0000    -0.6047     4.1670     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.8162    -1.5284     0.0000     0.0000    18.5057    29.4306    -2.2322     0.3392    -0.0086     0.0080    -0.1483     0.0327    -0.2448    -0.0041     0.1326     0.0054     0.0022    -0.0002     0.0697     0.0010    -0.0614     0.0001     0.0670     0.0003    -0.0001     0.0000    -0.0014     0.0000    -0.0008    -0.0000     0.0182     0.0000     0.0000    -0.0000     0.0002     0.0000     0.0003     0.0000     0.0000     0.0000
 1205.0000    -0.6205     4.2028     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.0254    -1.5155     0.0000     0.0000    16.0124    32.1752    -2.1461     0.3717    -0.0101     0.0087    -0.1644     0.0375    -0.2492    -0.0044     0.1602     0.0065     0.0023    -0.0003     0.0743     0.0011    -0.0611     0.0001     0.0692     0.0003    -0.0002     0.0000    -0.0015     0.0000    -0.0009    -0.0000     0.0177     0.0000    -0.0000    -0.0000     0.0002     0.0000     0.0003     0.0000     0.0001     0.0000
 1210.0000    -0.6333     4.2387     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.2327    -1.4580     0.0000     0.0000    12.9486    34.4172    -2.0523     0.4061    -0.0121     0.0094    -0.1812     0.0428    -0.2530    -0.0048     0.1891     0.0078     0.0023    -0.0003     0.0776     0.0012    -0.0606     0.0001     0.0711     0.0003    -0.0002     0.0000    -0.0015     0.0000    -0.0009    -0.0000     0.0169     0.0000    -0.0000    -0.0000     0.0002     0.0000     0.0004     0.0000     0.0001     0.0000
 1215.0000    -0.6434     4.2718     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4244    -1.3574     0.0000     0.0000     9.4749    35.9997    -1.9550     0.4427    -0.0136     0.0102    -0.1980     0.0487    -0.2567    -0.0052     0.2187     0.0092     0.0024    -0.0003     0.0810     0.0014    -0.0598     0.0001     0.0732     0.0003    -0.0001     0.0000    -0.0015     0.0000    -0.0010    -0.0000     0.0161     0.0000    -0.0000    -0.0000     0.0002     0.0000     0.0004     0.0000     0.0001     0.0000
 1220.0000    -0.6586     4.2951     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.5890    -1.2202     0.0000     0.0000     5.8004    36.8343    -1.8504     0.4843    -0.0150     0.0110    -0.2103     0.0508    -0.2601    -0.0056     0.2491     0.0170     0.0024    -0.0004     0.0833    -0.0008    -0.0588     0.0001     0.0751     0.0003    -0.0001     0.0000    -0.0016     0.0000    -0.0011    -0.0000     0.0151     0.0000     0.0000    -0.0000     0.0003     0.0000     0.0005     0.0000     0.0001     0.0000
 1225.0000    -0.6637     4.3114     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7184    -1.0561     0.0000     0.0000     2.1462    36.9196    -1.7386     0.5316    -0.0165     0.0117    -0.2263     0.0488    -0.2631    -0.0061     0.2795     0.0306     0.0024    -0.0004     0.0856    -0.0049    -0.0575     0.0001     0.0770     0.0000    -0.0002     0.0000    -0.0018     0.0001    -0.0012    -0.0000     0.0139     0.0000     0.0000    -0.0000     0.0002     0.0000     0.0005     0.0000     0.0001     0.0000
