  W(MeV)      Re(E0+)     Im(E0+)    Re(E0-)   Im(E0-)     Re(M0+)    Im(M0+)    Re(M0-)    Im(M0-)    Re(E1+)   Im(E1+)     Re(E1-)   Im(E1-)    Re(M1+)    Im(M1+)    Re(M1-)    Im(M1-)    Re(E2+)    Im(E2+)     Re(E2-)   Im(E2-)    Re(M2+)     Im(M2+)    Re(M2-)    Im(M2-)     Re(E3+)   Im(E3+)     Re(E3-)   Im(E3-)    Re(M3+)    Im(M3+)    Re(M3-)    Im(M3-)     Re(E4+)   Im(E4+)     Re(E4-)   Im(E4-)    Re(M4+)    Im(M4+)    Re(M4-)    Im(M4-)     Re(E5+)   Im(E5+)     Re(E5-)   Im(E5-)    Re(M5+)    Im(M5+)    Re(M5-)   Im(M5-)                                                                                                  
 1180.0000   -17.4823     3.2708     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.5961    -1.7942     0.0000     0.0000    37.1867    25.7009    -8.0205     0.3891    -0.7711     0.0026    -5.1799    -0.0105     0.1727    -0.0006    -0.5937    -0.0012    -0.2132    -0.0002    -0.7345     0.0000     0.0313     0.0000    -0.1172     0.0000    -0.0755     0.0000    -0.1941    -0.0000     0.0292    -0.0000    -0.0099    -0.0000    -0.0281    -0.0000    -0.0599    -0.0000     0.0091     0.0000    -0.0108    -0.0000
 1185.0000   -17.1822     3.3499     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.4041    -1.9464     0.0000     0.0000    37.1405    30.0698    -8.0412     0.4169    -0.7825     0.0029    -5.2971    -0.0116     0.1719    -0.0006    -0.6043    -0.0013    -0.2190    -0.0002    -0.7546     0.0000     0.0355     0.0000    -0.1226     0.0000    -0.0788     0.0000    -0.2029    -0.0000     0.0309    -0.0000    -0.0117    -0.0000    -0.0298    -0.0000    -0.0635    -0.0000     0.0098     0.0000    -0.0117    -0.0000
 1190.0000   -16.8931     3.4260     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.1696    -2.0739     0.0000     0.0000    36.3144    34.7126    -8.0506     0.4447    -0.7930     0.0033    -5.4095    -0.0129     0.1706    -0.0007    -0.6137    -0.0015    -0.2245    -0.0003    -0.7737     0.0000     0.0399     0.0000    -0.1279     0.0000    -0.0819     0.0000    -0.2114    -0.0000     0.0325    -0.0000    -0.0138    -0.0000    -0.0314    -0.0000    -0.0671    -0.0000     0.0105     0.0000    -0.0125    -0.0000
 1195.0000   -16.6214     3.4993     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.8959    -2.1633     0.0000     0.0000    34.5694    39.4450    -8.0494     0.4724    -0.8027     0.0036    -5.5176    -0.0141     0.1690    -0.0008    -0.6221    -0.0016    -0.2296    -0.0003    -0.7914     0.0000     0.0445     0.0001    -0.1331     0.0000    -0.0849     0.0000    -0.2196    -0.0000     0.0342    -0.0000    -0.0162    -0.0000    -0.0330    -0.0000    -0.0706    -0.0000     0.0112     0.0000    -0.0134    -0.0000
 1200.0000   -16.3595     3.5698     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.5917    -2.2015     0.0000     0.0000    31.8237    44.0145    -8.0391     0.4998    -0.8115     0.0040    -5.6215    -0.0154     0.1671    -0.0008    -0.6293    -0.0017    -0.2344    -0.0003    -0.8080     0.0001     0.0495     0.0001    -0.1381     0.0000    -0.0879     0.0000    -0.2275    -0.0000     0.0358    -0.0000    -0.0189    -0.0000    -0.0346    -0.0000    -0.0740    -0.0000     0.0119     0.0000    -0.0142    -0.0000
 1205.0000   -16.1113     3.6379     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.2712    -2.1779     0.0000     0.0000    28.0902    48.1247    -8.0195     0.5270    -0.8196     0.0044    -5.7160    -0.0167     0.1649    -0.0009    -0.6350    -0.0019    -0.2389    -0.0004    -0.8234     0.0001     0.0547     0.0001    -0.1429     0.0000    -0.0907     0.0000    -0.2352    -0.0000     0.0374    -0.0000    -0.0218    -0.0000    -0.0362    -0.0000    -0.0774    -0.0000     0.0126     0.0000    -0.0150    -0.0000
 1210.0000   -15.8741     3.7058     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.9528    -2.0875     0.0000     0.0000    23.4981    51.4812    -7.9909     0.5538    -0.8270     0.0047    -5.8122    -0.0180     0.1624    -0.0009    -0.6402    -0.0020    -0.2431    -0.0005    -0.8379     0.0001     0.0602     0.0001    -0.1477     0.0000    -0.0934     0.0000    -0.2425    -0.0000     0.0390    -0.0000    -0.0250    -0.0000    -0.0377    -0.0000    -0.0807    -0.0000     0.0134     0.0000    -0.0159    -0.0000
 1215.0000   -15.6473     3.7690     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.6564    -1.9326     0.0000     0.0000    18.2887    53.8485    -7.9549     0.5800    -0.8338     0.0052    -5.9051    -0.0193     0.1597    -0.0010    -0.6444    -0.0021    -0.2470    -0.0005    -0.8512     0.0001     0.0659     0.0001    -0.1522     0.0000    -0.0959     0.0000    -0.2496    -0.0000     0.0405    -0.0000    -0.0283    -0.0000    -0.0392    -0.0000    -0.0839    -0.0000     0.0141     0.0000    -0.0167    -0.0000
 1220.0000   -15.4314     3.8284     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3997    -1.7227     0.0000     0.0000    12.7754    55.0940    -7.9107     0.6088    -0.8400     0.0056    -5.9888    -0.0210     0.1568    -0.0010    -0.6470    -0.0021    -0.2508    -0.0006    -0.8636     0.0002     0.0719     0.0002    -0.1566     0.0000    -0.0984     0.0000    -0.2565    -0.0000     0.0420    -0.0000    -0.0319    -0.0000    -0.0406    -0.0000    -0.0870    -0.0000     0.0148     0.0000    -0.0176    -0.0000
 1225.0000   -15.2245     3.8747     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1951    -1.4728     0.0000     0.0000     7.2908    55.2158    -7.8585     0.6416    -0.8456     0.0060    -6.0752    -0.0221     0.1537    -0.0011    -0.6493    -0.0018    -0.2542    -0.0006    -0.8751     0.0003     0.0782     0.0002    -0.1608     0.0001    -0.1008     0.0000    -0.2631    -0.0000     0.0435    -0.0000    -0.0357    -0.0000    -0.0420    -0.0000    -0.0901    -0.0000     0.0155     0.0000    -0.0184    -0.0000
 1230.0000   -15.0292     3.9232     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0480    -1.2011     0.0000     0.0000     2.1271    54.3379    -7.7991     0.6746    -0.8507     0.0065    -6.1586    -0.0232     0.1504    -0.0011    -0.6507    -0.0015    -0.2574    -0.0007    -0.8858     0.0004     0.0846     0.0001    -0.1649     0.0001    -0.1030     0.0000    -0.2694    -0.0000     0.0450    -0.0000    -0.0396    -0.0000    -0.0434    -0.0000    -0.0931    -0.0000     0.0162     0.0000    -0.0192    -0.0000
 1235.0000   -14.8428     3.9674     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0428    -0.9242     0.0000     0.0000    -2.5090    52.6533    -7.7340     0.7075    -0.8553     0.0069    -6.2330    -0.0243     0.1470    -0.0012    -0.6504    -0.0011    -0.2603    -0.0008    -0.8955     0.0006     0.0913     0.0000    -0.1688     0.0002    -0.1052     0.0000    -0.2755    -0.0000     0.0464    -0.0000    -0.0436    -0.0000    -0.0447    -0.0000    -0.0959    -0.0000     0.0169     0.0000    -0.0201    -0.0000
 1240.0000   -14.6627     4.0096     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0833    -0.6557     0.0000     0.0000    -6.5039    50.3835    -7.6623     0.7405    -0.8594     0.0074    -6.3107    -0.0254     0.1435    -0.0012    -0.6499    -0.0006    -0.2631    -0.0009    -0.9044     0.0007     0.0983    -0.0000    -0.1726     0.0003    -0.1073     0.0000    -0.2814    -0.0000     0.0478    -0.0000    -0.0478    -0.0000    -0.0460    -0.0000    -0.0987    -0.0000     0.0176     0.0000    -0.0209    -0.0000
 1245.0000   -14.4929     4.0523     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0818    -0.4049     0.0000     0.0000    -9.8248    47.7408    -7.5859     0.7733    -0.8633     0.0079    -6.3795    -0.0266     0.1399    -0.0013    -0.6479     0.0000    -0.2656    -0.0010    -0.9126     0.0009     0.1054    -0.0001    -0.1762     0.0004    -0.1092     0.0000    -0.2870    -0.0000     0.0492    -0.0000    -0.0520    -0.0000    -0.0472    -0.0000    -0.1015    -0.0000     0.0183     0.0000    -0.0217    -0.0000
 1250.0000   -14.3286     4.0953     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0478    -0.1772     0.0000     0.0000   -12.4984    44.9049    -7.5035     0.8060    -0.8666     0.0083    -6.4518    -0.0278     0.1362    -0.0013    -0.6456     0.0008    -0.2682    -0.0010    -0.9200     0.0011     0.1129    -0.0003    -0.1796     0.0005    -0.1111     0.0000    -0.2924    -0.0000     0.0505    -0.0000    -0.0564    -0.0000    -0.0484    -0.0000    -0.1041    -0.0000     0.0190     0.0000    -0.0225    -0.0000
 1255.0000   -14.1717     4.1347     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0102     0.0250     0.0000     0.0000   -14.5863    42.0143    -7.4158     0.8388    -0.8696     0.0088    -6.5153    -0.0292     0.1324    -0.0013    -0.6418     0.0016    -0.2703    -0.0011    -0.9267     0.0013     0.1204    -0.0004    -0.1829     0.0006    -0.1129     0.0000    -0.2976    -0.0000     0.0518    -0.0000    -0.0607    -0.0000    -0.0496    -0.0000    -0.1067    -0.0000     0.0196     0.0000    -0.0233    -0.0000
 1260.0000   -14.0217     4.1748     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0848     0.2017     0.0000     0.0000   -16.1667    39.1677    -7.3241     0.8713    -0.8723     0.0093    -6.5827    -0.0307     0.1285    -0.0014    -0.6377     0.0025    -0.2723    -0.0012    -0.9327     0.0016     0.1282    -0.0005    -0.1860     0.0007    -0.1146     0.0000    -0.3026    -0.0000     0.0531    -0.0000    -0.0651    -0.0000    -0.0507    -0.0000    -0.1091    -0.0000     0.0203     0.0000    -0.0241    -0.0000
 1265.0000   -13.8761     4.2155     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1699     0.3542     0.0000     0.0000   -17.3204    36.4293    -7.2276     0.9038    -0.8747     0.0099    -6.6412    -0.0324     0.1246    -0.0014    -0.6322     0.0036    -0.2741    -0.0013    -0.9382     0.0018     0.1361    -0.0006    -0.1890     0.0008    -0.1163     0.0000    -0.3073    -0.0000     0.0543    -0.0000    -0.0695    -0.0000    -0.0518    -0.0000    -0.1115    -0.0000     0.0210     0.0000    -0.0249    -0.0000
 1270.0000   -13.7367     4.2551     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.2610     0.4846     0.0000     0.0000   -18.1234    33.8378    -7.1278     0.9363    -0.8767     0.0104    -6.7039    -0.0342     0.1206    -0.0014    -0.6264     0.0049    -0.2760    -0.0014    -0.9430     0.0021     0.1443    -0.0008    -0.1918     0.0009    -0.1178     0.0000    -0.3119    -0.0000     0.0555    -0.0000    -0.0738    -0.0000    -0.0529    -0.0000    -0.1138    -0.0000     0.0216     0.0000    -0.0256    -0.0000
 1275.0000   -13.6035     4.2955     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3547     0.5953     0.0000     0.0000   -18.6429    31.4123    -7.0237     0.9685    -0.8785     0.0109    -6.7576    -0.0364     0.1167    -0.0014    -0.6192     0.0063    -0.2775    -0.0015    -0.9472     0.0024     0.1526    -0.0010    -0.1945     0.0011    -0.1193     0.0000    -0.3163    -0.0000     0.0567    -0.0000    -0.0781    -0.0000    -0.0539    -0.0000    -0.1161    -0.0000     0.0223     0.0000    -0.0264    -0.0000
 1280.0000   -13.4734     4.3348     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4485     0.6887     0.0000     0.0000   -18.9359    29.1592    -6.9169     1.0007    -0.8799     0.0114    -6.8158    -0.0389     0.1127    -0.0014    -0.6117     0.0078    -0.2789    -0.0016    -0.9508     0.0027     0.1611    -0.0011    -0.1970     0.0012    -0.1207     0.0000    -0.3205    -0.0001     0.0578    -0.0000    -0.0823    -0.0000    -0.0549    -0.0000    -0.1182    -0.0000     0.0229     0.0000    -0.0271    -0.0000
 1285.0000   -13.3487     4.3730     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.5409     0.7670     0.0000     0.0000   -19.0500    27.0765    -6.8065     1.0329    -0.8812     0.0120    -6.8652    -0.0418     0.1087    -0.0014    -0.6028     0.0096    -0.2801    -0.0016    -0.9538     0.0031     0.1697    -0.0013    -0.1993     0.0014    -0.1221     0.0000    -0.3245    -0.0001     0.0590    -0.0000    -0.0865    -0.0000    -0.0559    -0.0000    -0.1203    -0.0000     0.0236     0.0000    -0.0279     0.0000
 1290.0000   -13.2266     4.4143     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.6307     0.8324     0.0000     0.0000   -19.0239    25.1570    -6.6927     1.0654    -0.8822     0.0125    -6.9123    -0.0452     0.1047    -0.0014    -0.5930     0.0115    -0.2815    -0.0017    -0.9564     0.0034     0.1786    -0.0015    -0.2015     0.0016    -0.1234     0.0000    -0.3284    -0.0001     0.0601    -0.0000    -0.0905    -0.0000    -0.0568    -0.0000    -0.1223    -0.0000     0.0242     0.0000    -0.0286     0.0000
 1295.0000   -13.1090     4.4546     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.7171     0.8866     0.0000     0.0000   -18.8885    23.3908    -6.5760     1.0976    -0.8830     0.0130    -6.9642    -0.0492     0.1007    -0.0014    -0.5831     0.0136    -0.2824    -0.0018    -0.9584     0.0038     0.1874    -0.0017    -0.2035     0.0018    -0.1246     0.0000    -0.3321    -0.0001     0.0611    -0.0000    -0.0945    -0.0000    -0.0577    -0.0000    -0.1243    -0.0000     0.0248     0.0000    -0.0293     0.0000
 1300.0000   -12.9937     4.4939     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.7999     0.9313     0.0000     0.0000   -18.6689    21.7664    -6.4574     1.1303    -0.8835     0.0136    -7.0072    -0.0538     0.0968    -0.0014    -0.5717     0.0160    -0.2836    -0.0019    -0.9600     0.0043     0.1966    -0.0019    -0.2053     0.0020    -0.1257     0.0000    -0.3356    -0.0001     0.0621    -0.0000    -0.0983    -0.0000    -0.0585    -0.0000    -0.1261    -0.0000     0.0254     0.0000    -0.0300     0.0000
 1305.0000   -12.8824     4.5342     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.8787     0.9677     0.0000     0.0000   -18.3848    20.2722    -6.3376     1.1631    -0.8839     0.0141    -7.0552    -0.0592     0.0928    -0.0014    -0.5602     0.0187    -0.2843    -0.0020    -0.9611     0.0047     0.2057    -0.0021    -0.2070     0.0022    -0.1268     0.0000    -0.3389    -0.0001     0.0631    -0.0000    -0.1019    -0.0000    -0.0594    -0.0000    -0.1279    -0.0000     0.0260     0.0000    -0.0307     0.0000
