  W(MeV)      Re(E0+)     Im(E0+)    Re(E0-)   Im(E0-)     Re(M0+)    Im(M0+)    Re(M0-)    Im(M0-)    Re(E1+)   Im(E1+)     Re(E1-)   Im(E1-)    Re(M1+)    Im(M1+)    Re(M1-)    Im(M1-)    Re(E2+)    Im(E2+)     Re(E2-)   Im(E2-)    Re(M2+)     Im(M2+)    Re(M2-)    Im(M2-)     Re(E3+)   Im(E3+)     Re(E3-)   Im(E3-)    Re(M3+)    Im(M3+)    Re(M3-)    Im(M3-)     Re(E4+)   Im(E4+)     Re(E4-)   Im(E4-)    Re(M4+)    Im(M4+)    Re(M4-)    Im(M4-)     Re(E5+)   Im(E5+)     Re(E5-)   Im(E5-)    Re(M5+)    Im(M5+)    Re(M5-)    Im(M5-)                                                                                                  
 1210.0000   -11.0927    -1.9714     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.0170     0.0716     0.0000     0.0000     3.2753    -0.1163    -4.6204    -0.0521    -0.5517    -0.0064    -4.3660    -0.0648     0.3470     0.0040    -0.6135    -0.0091    -0.1643     0.0000    -0.5645    -0.0010     0.0989    -0.0000    -0.1995    -0.0004    -0.0622    -0.0000    -0.1626    -0.0000     0.0265     0.0000    -0.0347    -0.0000    -0.0251     0.0000    -0.0538    -0.0000     0.0089    -0.0000    -0.0107    -0.0000
 1215.0000   -10.8902    -1.9572     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.0106     0.0745     0.0000     0.0000     3.2834    -0.1217    -4.7062    -0.0788    -0.5549    -0.0069    -4.4160    -0.0727     0.3478     0.0043    -0.6617    -0.0109    -0.1670     0.0000    -0.5750    -0.0012     0.1019    -0.0000    -0.2050    -0.0004    -0.0639    -0.0000    -0.1674    -0.0000     0.0276     0.0000    -0.0362    -0.0000    -0.0261     0.0000    -0.0559    -0.0000     0.0094    -0.0000    -0.0112    -0.0000
 1220.0000   -10.6879    -1.9442     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.0032     0.0774     0.0000     0.0000     3.2894    -0.1271    -4.7927    -0.1098    -0.5577    -0.0074    -4.4632    -0.0789     0.3481     0.0048    -0.7080    -0.0224    -0.1695     0.0000    -0.5844    -0.0014     0.1049    -0.0000    -0.2102    -0.0002    -0.0656    -0.0000    -0.1721    -0.0000     0.0286     0.0000    -0.0376    -0.0000    -0.0271     0.0000    -0.0580    -0.0000     0.0099    -0.0000    -0.0118    -0.0000
 1225.0000   -10.5037    -1.9350     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.9951     0.0802     0.0000     0.0000     3.2941    -0.1324    -4.8799    -0.1456    -0.5601    -0.0079    -4.5076    -0.0845     0.3479     0.0054    -0.7524    -0.0438    -0.1718     0.0000    -0.5937    -0.0016     0.1077    -0.0000    -0.2152     0.0004    -0.0671    -0.0000    -0.1766    -0.0001     0.0296     0.0000    -0.0391    -0.0000    -0.0280     0.0000    -0.0601    -0.0000     0.0104    -0.0000    -0.0124    -0.0000
 1230.0000   -10.3282    -1.9265     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.9860     0.0829     0.0000     0.0000     3.2970    -0.1376    -4.9634    -0.1861    -0.5621    -0.0085    -4.5496    -0.0916     0.3472     0.0061    -0.7947    -0.0635    -0.1740     0.0000    -0.6019    -0.0018     0.1105    -0.0000    -0.2198     0.0010    -0.0687    -0.0000    -0.1809    -0.0001     0.0306     0.0000    -0.0405    -0.0000    -0.0289     0.0000    -0.0621    -0.0000     0.0108    -0.0000    -0.0130    -0.0000
 1235.0000   -10.1612    -1.9170     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.9764     0.0855     0.0000     0.0000     3.2987    -0.1427    -5.0432    -0.2315    -0.5634    -0.0090    -4.5933    -0.1000     0.3458     0.0068    -0.8352    -0.0816    -0.1760     0.0000    -0.6101    -0.0019     0.1131    -0.0000    -0.2244     0.0017    -0.0701    -0.0000    -0.1851    -0.0001     0.0316     0.0000    -0.0419    -0.0000    -0.0298     0.0000    -0.0640    -0.0000     0.0113    -0.0000    -0.0135    -0.0000
 1240.0000   -10.0022    -1.9092     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.9660     0.0880     0.0000     0.0000     3.2989    -0.1477    -5.1236    -0.2822    -0.5648    -0.0095    -4.6313    -0.1099     0.3443     0.0076    -0.8726    -0.0981    -0.1779     0.0000    -0.6178    -0.0021     0.1158    -0.0000    -0.2287     0.0023    -0.0715    -0.0000    -0.1891    -0.0001     0.0326     0.0000    -0.0433    -0.0000    -0.0307     0.0000    -0.0659    -0.0000     0.0118    -0.0000    -0.0141    -0.0000
 1245.0000    -9.8594    -1.9024     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.9549     0.0905     0.0000     0.0000     3.2977    -0.1526    -5.2047    -0.3386    -0.5659    -0.0101    -4.6715    -0.1212     0.3424     0.0084    -0.9075    -0.1132    -0.1797     0.0000    -0.6250    -0.0024     0.1183    -0.0000    -0.2328     0.0029    -0.0728    -0.0000    -0.1930    -0.0001     0.0335     0.0000    -0.0447    -0.0000    -0.0315     0.0000    -0.0677    -0.0000     0.0123    -0.0000    -0.0147    -0.0000
 1250.0000    -9.7153    -1.8956     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.9434     0.0928     0.0000     0.0000     3.2955    -0.1574    -5.2820    -0.4011    -0.5668    -0.0106    -4.7065    -0.1339     0.3402     0.0092    -0.9390    -0.1271    -0.1813     0.0000    -0.6317    -0.0026     0.1208    -0.0000    -0.2367     0.0035    -0.0740    -0.0000    -0.1968    -0.0001     0.0344     0.0000    -0.0460    -0.0000    -0.0323     0.0000    -0.0694    -0.0000     0.0127    -0.0000    -0.0152    -0.0000
 1255.0000    -9.5782    -1.8905     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.9313     0.0951     0.0000     0.0000     3.2920    -0.1621    -5.3554    -0.4699    -0.5675    -0.0112    -4.7441    -0.1479     0.3375     0.0101    -0.9680    -0.1399    -0.1828     0.0001    -0.6380    -0.0029     0.1231    -0.0000    -0.2405     0.0041    -0.0752    -0.0000    -0.2004    -0.0001     0.0353     0.0000    -0.0473    -0.0000    -0.0331     0.0000    -0.0711    -0.0000     0.0132    -0.0000    -0.0158    -0.0000
