  W(MeV)      Re(E0+)     Im(E0+)    Re(E0-)   Im(E0-)     Re(M0+)    Im(M0+)    Re(M0-)    Im(M0-)    Re(E1+)   Im(E1+)     Re(E1-)   Im(E1-)    Re(M1+)    Im(M1+)    Re(M1-)    Im(M1-)    Re(E2+)   Im(E2+)     Re(E2-)   Im(E2-)     Re(M2+)     Im(M2+)    Re(M2-)    Im(M2-)     Re(E3+)   Im(E3+)     Re(E3-)   Im(E3-)    Re(M3+)    Im(M3+)    Re(M3-)    Im(M3-)     Re(E4+)   Im(E4+)     Re(E4-)   Im(E4-)    Re(M4+)    Im(M4+)    Re(M4-)    Im(M4-)     Re(E5+)   Im(E5+)     Re(E5-)   Im(E5-)    Re(M5+)    Im(M5+)    Re(M5-)    Im(M5-)                                                                                                  
 1180.0000    17.0051     0.7360     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.7503     0.5491     0.0000     0.0000   -15.0672    -8.4975     5.5052    -0.1605     0.7682     0.0027     5.0942     0.0281    -0.3960    -0.0021     0.6362     0.0036     0.2152     0.0001     0.7819     0.0004    -0.0912     0.0000     0.1752     0.0001     0.0754     0.0000     0.1930     0.0000    -0.0297     0.0000     0.0283     0.0000     0.0281     0.0000     0.0600     0.0000    -0.0089     0.0000     0.0109     0.0000
 1185.0000    16.6628     0.7001     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.6859     0.5967     0.0000     0.0000   -15.0648    -9.9492     5.5858    -0.1632     0.7782     0.0030     5.1981     0.0324    -0.4011    -0.0024     0.6653     0.0043     0.2211     0.0001     0.8087     0.0005    -0.0961     0.0000     0.1830     0.0002     0.0787     0.0000     0.2017     0.0000    -0.0314     0.0000     0.0304     0.0000     0.0297     0.0000     0.0637     0.0000    -0.0096     0.0000     0.0117     0.0000
 1190.0000    16.3390     0.6648     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.6063     0.6363     0.0000     0.0000   -14.8001   -11.4922     5.6624    -0.1642     0.7873     0.0033     5.2947     0.0372    -0.4054    -0.0027     0.6962     0.0052     0.2266     0.0001     0.8336     0.0006    -0.1011     0.0000     0.1906     0.0002     0.0819     0.0000     0.2102     0.0000    -0.0332     0.0000     0.0325     0.0000     0.0314     0.0000     0.0672     0.0000    -0.0103     0.0000     0.0126     0.0000
 1195.0000    16.0435     0.6299     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.5127     0.6633     0.0000     0.0000   -14.2270   -13.0652     5.7357    -0.1634     0.7956     0.0037     5.3851     0.0424    -0.4090    -0.0030     0.7283     0.0060     0.2318     0.0001     0.8565     0.0007    -0.1059    -0.0000     0.1979     0.0002     0.0849     0.0000     0.2182     0.0000    -0.0349     0.0000     0.0348     0.0000     0.0330     0.0000     0.0707     0.0000    -0.0109     0.0000     0.0135     0.0000
 1200.0000    15.7548     0.5972     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.4079     0.6731     0.0000     0.0000   -13.3180   -14.5838     5.8068    -0.1605     0.8028     0.0040     5.4732     0.0481    -0.4119    -0.0033     0.7619     0.0071     0.2366     0.0001     0.8777     0.0009    -0.1109    -0.0000     0.2051     0.0003     0.0878     0.0000     0.2261     0.0000    -0.0366     0.0000     0.0371     0.0000     0.0346     0.0000     0.0742     0.0000    -0.0116     0.0000     0.0142     0.0000
 1205.0000    15.4908     0.5649     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.2966     0.6624     0.0000     0.0000   -12.0777   -15.9495     5.8734    -0.1553     0.8095     0.0043     5.5516     0.0542    -0.4141    -0.0036     0.7952     0.0084     0.2412     0.0001     0.8977     0.0010    -0.1158    -0.0000     0.2121     0.0003     0.0905     0.0000     0.2337     0.0000    -0.0383     0.0000     0.0395     0.0000     0.0362     0.0000     0.0776     0.0000    -0.0123     0.0000     0.0151     0.0000
 1210.0000    15.2408     0.5329     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.1855     0.6295     0.0000     0.0000   -10.5495   -17.0639     5.9386    -0.1477     0.8149     0.0047     5.6310     0.0608    -0.4154    -0.0039     0.8293     0.0098     0.2454     0.0002     0.9154     0.0011    -0.1208    -0.0000     0.2188     0.0003     0.0932     0.0000     0.2410     0.0000    -0.0399     0.0000     0.0419     0.0000     0.0377     0.0000     0.0809     0.0000    -0.0130     0.0000     0.0160     0.0000
 1215.0000    15.0039     0.5028     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0808     0.5752     0.0000     0.0000    -8.8138   -17.8487     5.9999    -0.1373     0.8202     0.0050     5.7071     0.0680    -0.4164    -0.0042     0.8630     0.0113     0.2494     0.0002     0.9322     0.0013    -0.1257    -0.0000     0.2254     0.0003     0.0958     0.0000     0.2480     0.0000    -0.0415     0.0000     0.0444     0.0000     0.0392     0.0000     0.0841     0.0000    -0.0136     0.0000     0.0168     0.0000
 1220.0000    14.7728     0.4667     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.9887     0.5025     0.0000     0.0000    -6.9750   -18.2597     6.0603    -0.1245     0.8250     0.0054     5.7785     0.0718    -0.4169    -0.0046     0.8961     0.0191     0.2532     0.0002     0.9469    -0.0010    -0.1307    -0.0001     0.2316     0.0003     0.0983     0.0000     0.2549     0.0000    -0.0431     0.0000     0.0470     0.0000     0.0406     0.0000     0.0872     0.0000    -0.0143     0.0000     0.0177     0.0000
 1225.0000    14.5608     0.4367     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.9135     0.4167     0.0000     0.0000    -5.1446   -18.2962     6.1198    -0.1100     0.8291     0.0057     5.8489     0.0709    -0.4168    -0.0050     0.9288     0.0324     0.2566     0.0002     0.9606    -0.0052    -0.1357    -0.0001     0.2378    -0.0001     0.1006     0.0000     0.2613     0.0001    -0.0447     0.0000     0.0496     0.0000     0.0420     0.0000     0.0903     0.0000    -0.0150     0.0000     0.0185     0.0000
